as_of_date,forecast_prob,realized_outcome,context_tag
2020-01-10,0.5355,0,high_conviction
2020-01-17,0.95,1,high_conviction
2020-01-24,0.4703,0,low_conviction
2020-01-31,0.4685,0,low_conviction
2020-02-07,0.2596,1,low_conviction
2020-02-14,0.3621,0,low_conviction
2020-02-21,0.3496,0,low_conviction
2020-02-28,0.3253,1,low_conviction
2020-03-06,0.6671,1,high_conviction
2020-03-13,0.322,0,low_conviction
2020-03-20,0.3896,1,low_conviction
2020-03-27,0.5658,1,high_conviction
2020-04-03,0.95,1,high_conviction
2020-04-10,0.3843,1,low_conviction
2020-04-17,0.8478,1,high_conviction
2020-04-24,0.2439,0,low_conviction
2020-05-01,0.4845,1,low_conviction
2020-05-08,0.6169,1,high_conviction
2020-05-15,0.4109,1,low_conviction
2020-05-22,0.3318,1,low_conviction
2020-05-29,0.764,0,high_conviction
2020-06-05,0.3361,0,low_conviction
2020-06-12,0.8079,1,high_conviction
2020-06-19,0.4385,1,low_conviction
2020-06-26,0.1872,0,low_conviction
2020-07-03,0.683,1,high_conviction
2020-07-10,0.5161,0,high_conviction
2020-07-17,0.4935,0,low_conviction
2020-07-24,0.3727,1,low_conviction
2020-07-31,0.7512,0,high_conviction
2020-08-07,0.3233,1,low_conviction
2020-08-14,0.348,0,low_conviction
2020-08-21,0.5347,1,high_conviction
2020-08-28,0.5507,0,high_conviction
2020-09-04,0.6912,1,high_conviction
2020-09-11,0.637,1,high_conviction
2020-09-18,0.3541,0,low_conviction
2020-09-25,0.6881,0,high_conviction
2020-10-02,0.4648,1,low_conviction
2020-10-09,0.4939,0,low_conviction
2020-10-16,0.8118,1,high_conviction
2020-10-23,0.4654,0,low_conviction
2020-10-30,0.8751,1,high_conviction
2020-11-06,0.4132,0,low_conviction
2020-11-13,0.834,0,high_conviction
2020-11-20,0.2858,0,low_conviction
2020-11-27,0.499,1,low_conviction
2020-12-04,0.3309,0,low_conviction
2020-12-11,0.4457,1,low_conviction
2020-12-18,0.4653,0,low_conviction
2020-12-25,0.7162,1,high_conviction
2021-01-01,0.2288,1,low_conviction
2021-01-08,0.435,1,low_conviction
2021-01-15,0.2647,0,low_conviction
2021-01-22,0.8502,1,high_conviction
2021-01-29,0.54,0,high_conviction
2021-02-05,0.7905,1,high_conviction
2021-02-12,0.2846,0,low_conviction
2021-02-19,0.4794,0,low_conviction
2021-02-26,0.637,0,high_conviction
2021-03-05,0.747,1,high_conviction
2021-03-12,0.3314,0,low_conviction
2021-03-19,0.7568,1,high_conviction
2021-03-26,0.4018,1,low_conviction
2021-04-02,0.7031,0,high_conviction
2021-04-09,0.4218,0,low_conviction
2021-04-16,0.7876,1,high_conviction
2021-04-23,0.52,0,high_conviction
2021-04-30,0.2787,0,low_conviction
2021-05-07,0.5938,0,high_conviction
2021-05-14,0.6013,0,high_conviction
2021-05-21,0.7557,1,high_conviction
2021-05-28,0.7184,1,high_conviction
2021-06-04,0.165,0,low_conviction
2021-06-11,0.6032,0,high_conviction
2021-06-18,0.4949,1,low_conviction
2021-06-25,0.6834,1,high_conviction
2021-07-02,0.1997,0,low_conviction
2021-07-09,0.4212,0,low_conviction
2021-07-16,0.503,0,high_conviction
2021-07-23,0.358,0,low_conviction
2021-07-30,0.0918,0,low_conviction
2021-08-06,0.601,0,high_conviction
2021-08-13,0.7186,0,high_conviction
2021-08-20,0.4135,0,low_conviction
2021-08-27,0.5137,0,high_conviction
2021-09-03,0.717,0,high_conviction
2021-09-10,0.5511,0,high_conviction
2021-09-17,0.6239,1,high_conviction
2021-09-24,0.3553,0,low_conviction
2021-10-01,0.4725,1,low_conviction
2021-10-08,0.8351,0,high_conviction
2021-10-15,0.5831,0,high_conviction
2021-10-22,0.5561,0,high_conviction
2021-10-29,0.3791,1,low_conviction
2021-11-05,0.3628,0,low_conviction
2021-11-12,0.4003,0,low_conviction
2021-11-19,0.4025,1,low_conviction
2021-11-26,0.6138,1,high_conviction
2021-12-03,0.4715,0,low_conviction
2021-12-10,0.7435,0,high_conviction
2021-12-17,0.348,0,low_conviction
2021-12-24,0.9233,1,high_conviction
2021-12-31,0.6183,1,high_conviction
2022-01-07,0.5731,1,high_conviction
2022-01-14,0.1261,0,low_conviction
2022-01-21,0.7991,1,high_conviction
2022-01-28,0.6025,1,high_conviction
2022-02-04,0.3577,1,low_conviction
2022-02-11,0.2007,0,low_conviction
2022-02-18,0.2437,0,low_conviction
2022-02-25,0.5558,1,high_conviction
2022-03-04,0.416,0,low_conviction
2022-03-11,0.337,0,low_conviction
2022-03-18,0.3246,1,low_conviction
2022-03-25,0.0722,0,low_conviction
2022-04-01,0.7894,1,high_conviction
2022-04-08,0.4672,0,low_conviction
2022-04-15,0.513,0,high_conviction
2022-04-22,0.8697,1,high_conviction
